id,title,text,category
1,Sample Title 1,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
2,Sample Title 2,The parliament passed a new law regarding digital security.,Politics
3,Sample Title 3,Election campaigns are starting in several districts.,Politics
4,Sample Title 4,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
5,Sample Title 5,The parliament passed a new law regarding digital security.,Politics
6,Sample Title 6,Election campaigns are starting in several districts.,Politics
7,Sample Title 7,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
8,Sample Title 8,The parliament passed a new law regarding digital security.,Politics
9,Sample Title 9,Election campaigns are starting in several districts.,Politics
10,Sample Title 10,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
11,Sample Title 11,The parliament passed a new law regarding digital security.,Politics
12,Sample Title 12,Election campaigns are starting in several districts.,Politics
13,Sample Title 13,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
14,Sample Title 14,The parliament passed a new law regarding digital security.,Politics
15,Sample Title 15,Election campaigns are starting in several districts.,Politics
16,Sample Title 16,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
17,Sample Title 17,The parliament passed a new law regarding digital security.,Politics
18,Sample Title 18,Election campaigns are starting in several districts.,Politics
19,Sample Title 19,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
20,Sample Title 20,The parliament passed a new law regarding digital security.,Politics
21,Sample Title 21,Election campaigns are starting in several districts.,Politics
22,Sample Title 22,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
23,Sample Title 23,The parliament passed a new law regarding digital security.,Politics
24,Sample Title 24,Election campaigns are starting in several districts.,Politics
25,Sample Title 25,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
26,Sample Title 26,The parliament passed a new law regarding digital security.,Politics
27,Sample Title 27,Election campaigns are starting in several districts.,Politics
28,Sample Title 28,সরকার নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বৃদ্ধি করেছে।,Politics
29,Sample Title 29,The parliament passed a new law regarding digital security.,Politics
30,Sample Title 30,Election campaigns are starting in several districts.,Politics
31,Sample Title 31,Messi scored two goals to secure Argentina's victory.,Sports
32,Sample Title 32,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
33,Sample Title 33,The Olympic committee announced new qualification rules.,Sports
34,Sample Title 34,Messi scored two goals to secure Argentina's victory.,Sports
35,Sample Title 35,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
36,Sample Title 36,The Olympic committee announced new qualification rules.,Sports
37,Sample Title 37,Messi scored two goals to secure Argentina's victory.,Sports
38,Sample Title 38,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
39,Sample Title 39,The Olympic committee announced new qualification rules.,Sports
40,Sample Title 40,Messi scored two goals to secure Argentina's victory.,Sports
41,Sample Title 41,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
42,Sample Title 42,The Olympic committee announced new qualification rules.,Sports
43,Sample Title 43,Messi scored two goals to secure Argentina's victory.,Sports
44,Sample Title 44,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
45,Sample Title 45,The Olympic committee announced new qualification rules.,Sports
46,Sample Title 46,Messi scored two goals to secure Argentina's victory.,Sports
47,Sample Title 47,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
48,Sample Title 48,The Olympic committee announced new qualification rules.,Sports
49,Sample Title 49,Messi scored two goals to secure Argentina's victory.,Sports
50,Sample Title 50,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
51,Sample Title 51,The Olympic committee announced new qualification rules.,Sports
52,Sample Title 52,Messi scored two goals to secure Argentina's victory.,Sports
53,Sample Title 53,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
54,Sample Title 54,The Olympic committee announced new qualification rules.,Sports
55,Sample Title 55,Messi scored two goals to secure Argentina's victory.,Sports
56,Sample Title 56,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
57,Sample Title 57,The Olympic committee announced new qualification rules.,Sports
58,Sample Title 58,Messi scored two goals to secure Argentina's victory.,Sports
59,Sample Title 59,বাংলাদেশ ক্রিকেট দল শ্রীলঙ্কার বিরুদ্ধে জয় লাভ করেছে।,Sports
60,Sample Title 60,The Olympic committee announced new qualification rules.,Sports
61,Sample Title 61,Stock market index rises due to foreign investment.,Business
62,Sample Title 62,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
63,Sample Title 63,The government reduced tax for small businesses.,Business
64,Sample Title 64,Stock market index rises due to foreign investment.,Business
65,Sample Title 65,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
66,Sample Title 66,The government reduced tax for small businesses.,Business
67,Sample Title 67,Stock market index rises due to foreign investment.,Business
68,Sample Title 68,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
69,Sample Title 69,The government reduced tax for small businesses.,Business
70,Sample Title 70,Stock market index rises due to foreign investment.,Business
71,Sample Title 71,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
72,Sample Title 72,The government reduced tax for small businesses.,Business
73,Sample Title 73,Stock market index rises due to foreign investment.,Business
74,Sample Title 74,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
75,Sample Title 75,The government reduced tax for small businesses.,Business
76,Sample Title 76,Stock market index rises due to foreign investment.,Business
77,Sample Title 77,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
78,Sample Title 78,The government reduced tax for small businesses.,Business
79,Sample Title 79,Stock market index rises due to foreign investment.,Business
80,Sample Title 80,একটি নতুন ই-কমার্স প্ল্যাটফর্ম বাংলাদেশে চালু হয়েছে।,Business
81,Sample Title 81,The government reduced tax for small businesses.,Business
